71	658
400	5703
945	15813
519	7770
158	1829
926	15413
383	5400
373	5247
398	5681
681	10763
296	3954
785	12730
936	15621
142	1598
594	9128
210	2603
670	10524
283	3774
266	3463
865	14177
74	698
46	367
271	3556
683	10787
917	15244
337	4648
317	4322
789	12798
902	14966
108	1149
175	2104
907	15054
238	3068
201	2488
286	3779
65	582
446	6489
294	3920
165	1954
455	6643
961	16052
817	13341
824	13452
223	2802
233	2943
548	8293
496	7345
969	16273
988	16652
880	14522
871	14351
685	10809
294	3925
91	901
297	3982
320	4328
765	12378
854	14065
808	13174
700	11135
692	10934
742	11912
811	13255
390	5527
531	8016
895	14815
735	11736
558	8483
404	5815
620	9618
329	4532
544	8206
662	10397
903	14950
318	4341
439	6368
635	9898
526	7886
916	15225
370	5190
792	12873
186	2252
755	12203
728	11656
807	13185
846	13934
328	4485
47	378
632	9826
116	1250
368	5151
819	13376
384	5455
757	12179
660	10373
677	10698
131	1452
417	5986
112	1188
136	1524
