71	363
83	495
366	2975
143	1046
335	2873
741	8374
684	7580
768	8310
892	10107
929	10974
370	3026
43	208
437	4003
577	5722
991	12571
472	4479
518	5393
756	8502
883	11098
612	5786
420	3984
955	10513
679	6997
280	2244
852	8627
133	1060
218	1912
299	2507
988	11351
155	1077
661	6577
382	3376
352	3174
421	3671
112	682
672	7732
941	10748
232	1753
627	6796
434	3797
642	6991
913	11674
259	2562
583	6130
426	4271
949	10243
891	9844
960	10870
560	5229
67	353
797	8029
904	10239
307	2659
393	3747
483	4514
893	11571
703	8103
717	7897
822	8356
93	598
384	3476
873	10620
866	9854
475	4249
470	4631
747	8106
630	6698
509	5251
314	2653
561	6512
883	9541
223	1768
371	3450
390	3997
206	1660
706	7333
530	5471
277	2259
252	1863
98	578
755	7610
817	8796
759	7991
894	9763
389	3734
471	4324
946	10506
833	9070
452	4407
435	4769
128	841
798	9236
434	4162
195	1503
400	3922
612	6809
777	9350
752	8155
835	8821
150	973
